Thomas Bowes,orchestraLeader,S10005,CO0598,RO0056,,Dan Rieser,CO0128,,,,,,,,,,,,,,,,,,
Metro Voices,choir,S10005,CO0421,RO0017,,Daniel Miller,CO0129,,,,,,,,,,,,,,,,,,
Paul Epworth,producer,S10005,CO0478,RO0062,,Daniel Platzman,CO0130,,,,,,,,,,,,,,,,,,
Pete Hutchings,producer,S10005,CO0486,RO0062,,Daniel Tichenor,CO0131,,,,,,,,,,,,,,,,,,
Joe Hartwell Jones,producer,S10005,CO0295,RO0062,,Daron Malakian,CO0132,,,,,,,,,,,,,,,,,,
Mike Elizondo,bassGuitar,S10006,CO0434,RO0013,,Daron Malkaian,CO0133,,,,,,,,,,,,,,,,,,
Mike Elizondo,keyboard,S10006,CO0434,RO0044,,Darren Mora,CO0134,,,,,,,,,,,,,,,,,,
Tommy Coster,keyboard,S10006,CO0608,RO0044,,Daryl Bamonte,CO0135,,,,,,,,,,,,,,,,,,
Eminem,lyricist,S10006,CO0177,RO0049,,Dave Aron,CO0136,,,,,,,,,,,,,,,,,,
Dido,lyricist,S10006,CO0117,RO0049,,Dave Jerden,CO0137,,,,,,,,,,,,,,,,,,
Marshall Mathers,composer,S10006,CO0396,RO0019,,Dave Kutch,CO0138,,,,,,,,,,,,,,,,,,
Dido Armstrong,composer,S10006,CO0117,RO0019,,Dave Sardy,CO0139,,,,,,,,,,,,,,,,,,
The 45 King,composer,S10006,CO0593,RO0019,,Dave Yaden,CO0140,,,,,,,,,,,,,,,,,,
Philip G. Atwell,director,S10006,CO0497,RO0026,,Dave bickler,CO0141,,,,,,,,,,,,,,,,,,
Dr. Dre,director,S10006,CO0162,RO0026,,Daveon Jackson,CO0142,,,,,,,,,,,,,,,,,,
Eminem,mixing,S10006,CO0177,RO0052,,David Browne,CO0143,,,,,,,,,,,,,,,,,,
Dido Armstrong,backgroundVoice,S10006,CO0117,RO0011,,David Bukovinszky,CO0144,,,,,,,,,,,,,,,,,,
Marshall Mathers,backgroundVoice,S10006,CO0396,RO0011,,David Gahan,CO0145,,,,,,,,,,,,,,,,,,
Steve King,engineer,S10006,CO0575,RO0032,,David Hart,CO0146,,,,,,,,,,,,,,,,,,
Marshall Mathers,leadVoice,S10006,CO0396,RO0047,,David Kutch,CO0147,,,,,,,,,,,,,,,,,,
Dr. Dre,executiveProducer,S10006,CO0162,RO0033,,David McGlohon,CO0148,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10006,CO0202,RO0024,,David Paton,CO0149,,,,,,,,,,,,,,,,,,
Eminem,assistantMixingEngineer,S10006,CO0177,RO0007,,David Payne,CO0150,,,,,,,,,,,,,,,,,,
Eminem,producer,S10006,CO0177,RO0062,,Demi Lovato,CO0151,,,,,,,,,,,,,,,,,,
The 45 King,producer,S10006,CO0593,RO0062,,Dennis Mitchell,CO0152,,,,,,,,,,,,,,,,,,
Dabbaghian,dataCollection,S10006,CO0117,RO0023,,Depeche Mode,CO0153,,,,,,,,,,,,,,,,,,
Ben McKee,bassGuitar,S10007,CO0055,RO0013,,Derek Garten,CO0154,,,,,,,,,,,,,,,,,,
Alexander Grant,lyricist,S10007,CO0018,RO0049,,Dick Meaney,CO0155,,,,,,,,,,,,,,,,,,
Josh Mosser,lyricist,S10007,CO0321,RO0049,,Dido,CO0156,,,,,,,,,,,,,,,,,,
Alexander Grant,composer,S10007,CO0018,RO0019,,Dido Armstrong,CO0157,,,,,,,,,,,,,,,,,,
Manny Marroquin,mixingEngineer,S10007,CO0386,RO0054,,Diggs,CO0158,,,,,,,,,,,,,,,,,,
Dan Reynolds,backgroundVoice,S10007,CO0117,RO0011,,Doug  Hnederson,CO0159,,,,,,,,,,,,,,,,,,
Wayne Sermon,backgroundVoice,S10007,CO0628,RO0011,,Doug McKean,CO0160,,,,,,,,,,,,,,,,,,
Ben McKee,backgroundVoice,S10007,CO0055,RO0011,,Doug Sax,CO0161,,,,,,,,,,,,,,,,,,
Wayne Sermon,rhythmGuitar,S10007,CO0628,RO0065,,Dr. Dre,CO0162,,,,,,,,,,,,,,,,,,
Daniel Platzman,drum,S10007,CO0117,RO0028,,Dr. Luke,CO0163,,,,,,,,,,,,,,,,,,
Dan Reynolds,leadVoice,S10007,CO0117,RO0047,,Dr.Dre,CO0164,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10007,CO0202,RO0024,,Drake,CO0165,,,,,,,,,,,,,,,,,,
Joe LaPorta,mastering,S10007,CO0296,RO0051,,Drew Brown,CO0166,,,,,,,,,,,,,,,,,,
Daniel Platzman,percussion,S10007,CO0117,RO0059,,Ed Sheeran,CO0167,,,,,,,,,,,,,,,,,,
Alexander Grant,producer,S10007,CO0018,RO0062,,Eddie Fisher,CO0168,,,,,,,,,,,,,,,,,,
